Id,GrLivArea,BedroomAbvGr,FullBath,HalfBath,BsmtFullBath,GarageArea,GarageCars,YearBuilt,YearRemodAdd,OverallQual,OverallCond,LotArea,TotalBsmtSF,Neighborhood,BldgType,SaleCondition,SalePrice
64,4853,4,2,0,,36.0,0,1943,1949,9,8,9935,686.0,Somerst,TwnhsI,Alloca,665137
65,2348,3,3,0,0.0,254.0,1,1994,1996,1,4,6301,800.0,StoneBr,Duplx,Family,457715
66,1966,3,2,0,0.0,254.0,1,1978,1999,1,4,3802,629.0,CollgCr,2FmCon,Alloca,292074
67,4574,4,3,1,1.0,297.0,1,1925,1935,8,6,6606,1367.0,SawyerW,1Fam,Family,590162
68,2167,5,2,0,0.0,32.0,0,1967,1987,6,4,1881,371.0,Veenker,TwnhsI,Normal,388092
69,843,2,3,1,1.0,38.0,0,1999,2000,4,6,18428,1595.0,ClearCr,2FmCon,AdjLand,308183
70,2613,3,1,1,0.0,676.0,3,1915,1940,7,9,19890,498.0,NoRidge,Duplx,Family,622246
71,4080,1,1,0,1.0,63.0,0,1907,1916,3,3,8301,1501.0,Gilbert,1Fam,AdjLand,492283
72,1352,4,3,0,1.0,431.0,2,1948,1970,2,9,17718,1877.0,SawyerW,2FmCon,Family,372371
73,2583,3,3,0,0.0,434.0,2,1980,2008,4,5,10034,539.0,NWAmes,Duplx,Partial,398324
74,1084,2,4,1,0.0,482.0,2,1938,1954,9,4,18378,308.0,ClearCr,TwnhsI,Family,360352
75,3589,4,2,0,1.0,683.0,3,2000,2010,8,9,4702,2418.0,NoRidge,2FmCon,Family,798727
76,2640,3,1,0,0.0,14.0,0,2004,2013,2,5,6764,2215.0,Crawfor,Duplx,AdjLand,423924
77,1985,3,4,0,0.0,239.0,1,1965,1985,6,2,15186,784.0,NAmes,TwnhsI,Alloca,357623
78,1521,3,3,0,0.0,76.0,0,1946,1946,9,3,5571,2661.0,NridgHt,2FmCon,AdjLand,509455
79,3040,2,1,1,0.0,411.0,2,1905,1909,10,8,16735,663.0,Timber,2FmCon,Abnorml,583782
80,3514,1,3,1,0.0,418.0,2,2001,2020,8,5,9378,,SawyerW,1Fam,AdjLand,557284
81,4731,5,4,0,0.0,615.0,3,2010,2010,2,6,8972,339.0,CollgCr,TwnhsI,Family,646919
82,2467,1,1,1,0.0,252.0,1,1954,1962,3,7,9886,1980.0,StoneBr,1Fam,Normal,493872
83,1223,2,3,1,0.0,,0,1963,1982,3,2,16260,57.0,NoRidge,2FmCon,Abnorml,360887
84,4247,4,3,0,0.0,632.0,3,1992,1999,2,1,1603,592.0,ClearCr,1Fam,Partial,592691
85,3333,1,2,0,0.0,413.0,2,1985,2012,2,4,15387,1214.0,CollgCr,TwnhsE,Partial,473370
86,3651,4,3,1,1.0,663.0,3,1916,1945,4,9,15916,255.0,SawyerW,2FmCon,AdjLand,517702
87,937,4,1,1,0.0,280.0,1,1982,1983,6,2,16691,1370.0,Mitchel,TwnhsE,Partial,284919
88,1905,4,4,0,1.0,221.0,1,2013,2018,4,7,19938,,ClearCr,TwnhsE,AdjLand,426294
89,3955,2,4,0,1.0,266.0,1,1992,2019,5,9,15971,296.0,ClearCr,1Fam,Normal,561387
90,4245,1,4,1,1.0,479.0,2,1959,1959,3,1,11280,2885.0,Mitchel,2FmCon,Abnorml,538097
91,2458,5,3,1,1.0,55.0,0,1964,1978,2,2,10123,2945.0,NWAmes,1Fam,Alloca,418176
92,4121,2,1,0,0.0,657.0,3,1931,1959,10,8,8682,2887.0,Timber,1Fam,Partial,671496
93,4287,5,2,0,1.0,16.0,0,1981,1998,6,1,16802,,Gilbert,Duplx,Alloca,566327
94,2243,1,2,1,0.0,295.0,1,1929,1938,3,7,8765,1145.0,Gilbert,2FmCon,AdjLand,331953
95,4541,1,4,0,0.0,295.0,1,1942,1942,9,8,12093,982.0,Timber,1Fam,Abnorml,708385
96,1797,4,2,0,1.0,471.0,2,1932,1943,9,3,3277,977.0,NAmes,Duplx,Partial,350777
97,1578,5,2,1,0.0,490.0,2,1941,1957,10,3,7370,1249.0,Veenker,Duplx,Family,434955
98,3571,5,1,0,0.0,660.0,3,1945,1947,2,5,6423,1530.0,CollgCr,TwnhsI,Family,503475
99,3365,4,3,1,,666.0,3,1910,1925,7,5,9547,1455.0,Crawfor,TwnhsE,Normal,563438
100,1128,2,2,1,1.0,82.0,0,1988,2000,10,8,10789,,Gilbert,2FmCon,Alloca,341731
101,4247,5,1,0,1.0,3.0,0,1954,1963,9,6,14755,2939.0,Mitchel,Duplx,Partial,572426
102,1399,4,4,0,1.0,621.0,3,2016,2045,3,9,9489,2938.0,Somerst,1Fam,Normal,433807
103,4122,1,1,1,1.0,220.0,1,1922,1948,9,3,4281,993.0,Somerst,2FmCon,AdjLand,548431
104,533,1,1,0,0.0,63.0,0,1982,2002,5,3,11583,663.0,NWAmes,Duplx,Normal,171596
105,4085,5,1,1,0.0,624.0,3,1922,1939,5,3,2511,1598.0,NAmes,1Fam,Abnorml,498380
106,4041,2,2,0,0.0,439.0,2,1967,1981,6,6,17207,1107.0,Mitchel,TwnhsI,Alloca,535556
107,4011,4,1,1,0.0,49.0,0,1960,1962,8,1,15755,2961.0,NWAmes,Duplx,Alloca,605415
108,3491,1,3,0,,674.0,3,1955,1964,2,8,5666,1288.0,Gilbert,TwnhsE,Partial,491147
109,2622,2,2,0,1.0,451.0,2,1980,1980,6,7,6369,119.0,NWAmes,2FmCon,Alloca,432821
110,3673,2,2,1,1.0,402.0,2,2001,2011,9,9,2011,375.0,NAmes,TwnhsI,Family,465919
111,1747,2,1,0,1.0,668.0,3,1938,1952,6,9,8241,223.0,NoRidge,2FmCon,Partial,449682
112,4013,4,2,0,1.0,242.0,1,2004,2022,3,1,2207,1148.0,CollgCr,TwnhsI,Abnorml,507922
113,3000,5,1,1,0.0,211.0,1,1922,1932,1,7,18822,949.0,NoRidge,Duplx,AdjLand,601196
114,2565,5,4,1,0.0,465.0,2,1936,1943,6,5,3982,2570.0,CollgCr,TwnhsE,Normal,497599
115,2775,4,2,0,0.0,27.0,0,1938,1959,8,7,13698,2671.0,Somerst,2FmCon,Family,538910
116,3059,2,2,1,1.0,46.0,0,2017,2021,6,8,12053,421.0,Veenker,TwnhsI,Partial,480360
117,667,5,1,0,1.0,,3,1914,1917,10,6,5881,2833.0,Mitchel,1Fam,Alloca,328520
118,1129,3,1,0,0.0,23.0,0,1948,1968,7,1,16451,,Gilbert,1Fam,Alloca,315726
119,1604,3,1,0,0.0,488.0,2,1952,1969,6,8,3514,920.0,CollgCr,Duplx,Partial,332367
120,1015,4,1,1,0.0,246.0,1,1998,2024,1,4,17905,1219.0,Mitchel,TwnhsI,Family,243249
121,2478,4,3,1,0.0,93.0,0,1959,1981,6,5,15196,1324.0,NridgHt,TwnhsI,Alloca,607803
122,3507,5,4,0,1.0,484.0,2,2018,2045,2,6,13249,511.0,Blmngtn,TwnhsI,Family,556835
123,3444,3,4,1,1.0,683.0,3,1991,2010,8,9,17773,2602.0,StoneBr,Duplx,Normal,793606
124,2619,4,1,0,1.0,220.0,1,1986,2011,2,5,8958,37.0,Timber,TwnhsI,Partial,422222
125,4347,4,3,0,,79.0,0,1992,1997,10,2,6710,209.0,StoneBr,Duplx,Family,718394
126,3043,2,2,0,,36.0,0,1919,1934,4,7,4358,820.0,CollgCr,Duplx,Alloca,406758
127,856,2,1,1,1.0,,0,1955,1983,5,6,18600,430.0,Blmngtn,1Fam,Partial,213625
128,3942,4,1,0,0.0,,3,1972,1995,2,1,8926,185.0,NWAmes,TwnhsE,Normal,476504
129,3085,1,2,1,0.0,261.0,1,1925,1937,3,5,16843,1150.0,ClearCr,2FmCon,Abnorml,438452
130,3356,2,2,0,0.0,291.0,1,1914,1941,10,8,7649,1130.0,NAmes,1Fam,AdjLand,444207
131,3044,4,1,1,0.0,53.0,0,1916,1925,3,8,19167,376.0,Somerst,2FmCon,AdjLand,450684
132,2991,5,4,0,0.0,203.0,1,1997,1997,6,3,17595,2430.0,StoneBr,TwnhsE,Family,687977
133,907,3,3,0,0.0,687.0,3,1980,2003,10,5,7198,2647.0,NoRidge,2FmCon,Normal,551704
134,3016,2,2,1,0.0,253.0,1,1934,1946,7,8,10504,2159.0,NridgHt,2FmCon,Partial,636900
135,4077,3,4,1,1.0,404.0,2,1990,1991,1,6,16188,1566.0,ClearCr,2FmCon,Abnorml,627356
136,1867,4,4,1,1.0,6.0,0,1985,1991,4,4,5684,2842.0,ClearCr,Duplx,Family,423726
137,3212,3,4,0,1.0,72.0,0,2000,2002,4,2,1938,1051.0,SawyerW,TwnhsE,Normal,410057
138,638,1,1,1,0.0,492.0,2,2011,2040,3,1,6842,1281.0,NridgHt,TwnhsE,Abnorml,303475
139,2063,3,4,0,1.0,69.0,0,2008,2033,3,7,12425,45.0,Timber,1Fam,Abnorml,420392
140,2465,3,2,1,1.0,244.0,1,1922,1949,6,9,4024,2123.0,NAmes,2FmCon,Normal,383018
141,4922,4,3,1,0.0,230.0,1,1994,1999,4,6,7667,277.0,NoRidge,TwnhsE,AdjLand,800000
142,1465,5,4,1,0.0,41.0,0,1948,1972,3,8,18493,1996.0,ClearCr,2FmCon,AdjLand,382351
143,1744,5,1,1,1.0,432.0,2,1949,1965,5,7,2888,2347.0,StoneBr,1Fam,AdjLand,472822
144,2338,4,2,0,,627.0,3,1979,1987,4,4,2431,651.0,CollgCr,2FmCon,Family,397728
145,4966,2,1,0,0.0,12.0,0,1974,1994,3,5,9341,1836.0,NAmes,TwnhsE,Partial,492695
146,4340,3,1,1,,656.0,3,1951,1979,5,3,1737,910.0,Timber,TwnhsE,Abnorml,607992
147,656,1,2,0,0.0,421.0,2,2022,2035,10,3,2014,1194.0,Somerst,1Fam,Partial,339042
148,1552,5,3,0,0.0,,2,1921,1921,6,6,4885,1589.0,ClearCr,TwnhsE,Alloca,383004
149,4197,5,4,1,0.0,27.0,0,1911,1936,6,6,3391,748.0,NWAmes,1Fam,AdjLand,520683
150,762,5,2,1,1.0,679.0,3,1903,1908,10,9,16501,2389.0,NAmes,TwnhsE,Abnorml,351202
151,4350,2,2,1,0.0,57.0,0,2000,2005,7,3,3770,1183.0,NridgHt,Duplx,Alloca,765737
152,1766,2,2,1,1.0,649.0,3,1950,1968,3,3,11184,1385.0,Crawfor,1Fam,Alloca,374561
153,4629,5,4,1,0.0,459.0,2,1953,1976,4,2,14547,2444.0,NWAmes,2FmCon,Abnorml,667069
154,1821,3,4,0,1.0,256.0,1,1979,2002,5,9,13078,683.0,NoRidge,TwnhsI,AdjLand,510229
155,2454,4,1,1,1.0,49.0,0,1953,1979,5,8,13596,1356.0,SawyerW,Duplx,AdjLand,379248
156,3478,3,1,1,0.0,,2,1970,1996,2,3,8118,2980.0,Timber,TwnhsE,Abnorml,572500
157,1068,3,3,1,0.0,73.0,0,1907,1910,2,9,17943,1199.0,Crawfor,TwnhsE,Normal,263261
158,3006,4,2,1,1.0,418.0,2,1919,1928,4,7,2770,346.0,NAmes,1Fam,Alloca,363877
159,2772,5,1,0,0.0,681.0,3,2014,2035,10,5,3485,853.0,Blmngtn,TwnhsI,AdjLand,520372
160,4027,2,1,1,,217.0,1,1955,1966,8,4,17338,2867.0,NAmes,2FmCon,Alloca,532084
161,4982,5,2,1,0.0,,0,1920,1941,9,6,2764,2277.0,Blmngtn,TwnhsE,Partial,648258
162,3489,2,2,0,0.0,42.0,0,1945,1958,2,1,5050,2427.0,Timber,Duplx,AdjLand,515190
163,2341,3,2,1,0.0,39.0,0,1941,1954,5,2,4703,760.0,Gilbert,Duplx,Family,337991
164,2328,5,1,1,1.0,78.0,0,1933,1933,6,9,2111,,Blmngtn,2FmCon,Abnorml,416087
165,2380,5,3,0,0.0,69.0,0,1936,1954,5,2,3664,1180.0,Veenker,TwnhsI,AdjLand,431356
166,4163,5,3,1,1.0,405.0,2,1989,2014,5,2,12095,2384.0,NridgHt,1Fam,Normal,800000
167,1945,2,2,0,0.0,249.0,1,1913,1937,4,8,13732,2642.0,Blmngtn,TwnhsI,Normal,352343
168,1251,5,1,0,1.0,679.0,3,1938,1948,1,9,3040,624.0,CollgCr,2FmCon,Family,262650
169,2004,5,2,1,1.0,673.0,3,1957,1977,9,8,18934,2815.0,NWAmes,TwnhsI,Normal,511370
170,602,5,3,1,1.0,650.0,3,1966,1971,10,1,3271,1897.0,NridgHt,1Fam,AdjLand,496790
171,977,1,2,0,0.0,461.0,2,2008,2027,1,8,14209,2192.0,CollgCr,1Fam,AdjLand,306190
172,905,4,1,0,1.0,256.0,1,2013,2025,5,3,16306,,SawyerW,1Fam,Alloca,337085
173,3971,5,2,1,1.0,623.0,3,1936,1963,6,1,11134,505.0,Mitchel,Duplx,AdjLand,505809
174,3750,4,2,1,,56.0,0,1966,1987,8,9,10594,2237.0,NAmes,2FmCon,Alloca,504147
175,3635,2,2,0,,267.0,1,1902,1904,10,3,3517,638.0,Timber,Duplx,Family,572574
176,2578,4,2,0,1.0,205.0,1,1975,2001,5,6,5967,814.0,StoneBr,TwnhsI,Alloca,503785
177,3726,1,2,0,0.0,469.0,2,1918,1939,8,1,17235,349.0,CollgCr,1Fam,Alloca,551818
178,1225,3,3,0,1.0,424.0,2,1909,1915,10,2,7949,543.0,ClearCr,Duplx,Normal,374638
179,4552,4,2,0,0.0,600.0,3,1982,1990,9,8,2137,2936.0,Timber,TwnhsE,Abnorml,775364
180,2754,3,2,0,,,3,1921,1926,3,6,14990,984.0,NridgHt,Duplx,Partial,582357
181,4721,4,3,1,1.0,238.0,1,1958,1967,9,9,14147,1161.0,StoneBr,TwnhsI,AdjLand,800000
182,1185,2,2,1,1.0,641.0,3,1912,1940,5,2,2727,1439.0,Somerst,TwnhsE,Alloca,337725
183,2737,4,1,0,0.0,62.0,0,1991,2018,1,9,2444,2138.0,NWAmes,1Fam,Alloca,377628
184,3633,4,3,1,1.0,656.0,3,1994,2010,8,8,3654,1721.0,NoRidge,Duplx,Normal,800000
185,2730,4,1,1,0.0,62.0,0,1970,1980,9,9,2441,1608.0,NridgHt,2FmCon,Abnorml,575392
186,2507,2,3,0,0.0,694.0,3,2002,2012,4,1,12900,2510.0,Timber,1Fam,Normal,545007
187,1247,2,1,1,1.0,265.0,1,1953,1981,5,1,3953,1487.0,Mitchel,TwnhsI,AdjLand,256926
188,2214,2,1,0,1.0,604.0,3,1922,1927,4,5,12728,2307.0,NAmes,2FmCon,AdjLand,377753
189,1574,3,1,1,0.0,22.0,0,1918,1940,2,2,4758,2732.0,ClearCr,1Fam,Normal,310296
190,1856,3,4,1,1.0,244.0,1,1926,1955,10,1,19490,2028.0,NoRidge,2FmCon,Family,628878
191,3576,2,2,1,0.0,,3,1924,1949,1,8,14929,105.0,NoRidge,TwnhsI,Abnorml,615703
192,3336,3,2,0,1.0,36.0,0,1939,1960,6,7,8429,790.0,SawyerW,Duplx,AdjLand,430084
193,3232,2,3,1,1.0,,1,1926,1952,1,8,9431,1853.0,ClearCr,TwnhsI,Alloca,440317
194,2128,2,1,0,1.0,10.0,0,1972,1978,7,9,2703,1436.0,NridgHt,Duplx,Normal,459620
195,4818,4,2,0,0.0,214.0,1,1918,1947,10,2,2515,854.0,SawyerW,1Fam,Family,581633
196,894,5,2,1,0.0,295.0,1,1976,1978,7,8,11444,1006.0,Crawfor,2FmCon,Family,339969
197,2041,2,2,0,0.0,439.0,2,1941,1941,7,1,1921,235.0,Somerst,1Fam,Family,403773
198,1031,5,1,0,1.0,296.0,1,1984,1989,9,4,13309,704.0,ClearCr,Duplx,Normal,321198
199,2025,3,4,1,1.0,33.0,0,1963,1981,10,3,8575,2348.0,Timber,2FmCon,Partial,540387
200,4828,1,1,1,1.0,31.0,0,2011,2018,9,3,4082,30.0,Mitchel,TwnhsI,Abnorml,523432
201,2148,2,3,0,0.0,648.0,3,1954,1973,3,7,11410,2510.0,NWAmes,2FmCon,Partial,418999
202,4588,1,3,0,1.0,694.0,3,1936,1939,6,2,11727,1018.0,StoneBr,2FmCon,Family,765291
203,2727,1,2,0,1.0,56.0,0,1972,1992,9,8,15306,2423.0,NWAmes,TwnhsI,Alloca,484906
204,3648,2,1,1,0.0,3.0,0,1981,1987,3,8,5158,768.0,StoneBr,Duplx,Alloca,550439
205,2558,3,2,0,0.0,27.0,0,1954,1969,7,6,11626,2486.0,ClearCr,1Fam,Partial,474379
206,1696,4,3,1,0.0,698.0,3,1968,1971,1,1,17127,,NWAmes,Duplx,Family,351524
207,3939,1,4,0,0.0,415.0,2,1957,1986,9,6,6494,2554.0,NoRidge,2FmCon,Family,800000
208,4861,5,4,0,1.0,683.0,3,1937,1948,7,6,16950,186.0,Gilbert,TwnhsE,Alloca,687404
209,1685,2,1,0,1.0,292.0,1,1938,1956,8,4,14882,2392.0,Timber,Duplx,Alloca,437413
210,4004,1,3,1,,421.0,2,2011,2025,9,4,9448,811.0,Gilbert,TwnhsE,AdjLand,598700
211,1675,4,1,0,1.0,55.0,0,1983,2000,3,5,17839,1076.0,Crawfor,TwnhsI,Normal,364295
212,3726,4,3,1,0.0,459.0,2,1911,1924,5,9,19384,134.0,NoRidge,TwnhsE,Abnorml,722504
213,4050,4,2,0,1.0,479.0,2,2018,2020,9,1,5881,2862.0,NWAmes,2FmCon,Alloca,648687
214,2522,1,3,1,1.0,279.0,1,1987,2011,2,5,19625,1924.0,Timber,2FmCon,Abnorml,483848
215,3816,1,3,0,1.0,406.0,2,1906,1925,9,3,1544,2942.0,NAmes,Duplx,Abnorml,512151
216,1725,2,4,0,1.0,431.0,2,1989,1996,3,5,3891,1704.0,SawyerW,Duplx,Family,340374
217,856,3,2,0,1.0,294.0,1,1972,1974,6,1,2298,474.0,StoneBr,2FmCon,Partial,319669
218,933,5,2,0,1.0,35.0,0,2012,2038,6,9,8302,1012.0,Blmngtn,TwnhsI,Family,254460
219,2511,2,2,0,0.0,24.0,0,1960,1969,7,5,18834,1319.0,Somerst,TwnhsI,Abnorml,469415
220,4561,1,1,1,1.0,662.0,3,1963,1990,9,9,12605,442.0,Blmngtn,2FmCon,Partial,596205
221,1074,5,1,1,1.0,219.0,1,1938,1960,4,2,12906,2794.0,CollgCr,TwnhsE,Partial,355453
222,2550,1,2,0,1.0,214.0,1,1939,1967,2,6,3069,2873.0,Veenker,TwnhsI,Partial,450695
223,3668,1,3,0,0.0,479.0,2,1976,1995,5,7,11048,1690.0,Blmngtn,1Fam,Partial,554497
224,1410,3,2,0,0.0,211.0,1,2001,2006,7,8,8579,,Timber,2FmCon,Abnorml,405086
225,3747,3,3,1,1.0,289.0,1,2009,2010,8,1,10369,2110.0,Mitchel,TwnhsE,Alloca,532846
226,1876,4,1,0,1.0,424.0,2,1994,2001,8,6,6331,2037.0,NAmes,Duplx,Abnorml,368868
227,4138,5,2,0,1.0,410.0,2,1975,1988,4,2,5229,188.0,StoneBr,TwnhsE,Partial,713410
228,3106,5,3,1,1.0,474.0,2,1961,1979,10,4,19112,1594.0,Gilbert,Duplx,Family,569964
229,2961,2,2,0,1.0,17.0,0,1941,1967,1,1,11830,2331.0,Mitchel,1Fam,Partial,343161
230,1295,5,1,0,1.0,236.0,1,1994,1998,2,1,9114,2419.0,NridgHt,Duplx,Normal,439112
231,2584,4,1,0,1.0,235.0,1,1939,1958,1,7,2865,1788.0,NWAmes,Duplx,Normal,370620
232,4354,1,4,0,0.0,450.0,2,1932,1934,10,7,15609,2689.0,NAmes,TwnhsI,Partial,634325
233,587,5,3,0,1.0,47.0,0,2006,2020,2,9,10242,1758.0,Timber,1Fam,AdjLand,307263
234,3913,1,1,1,0.0,19.0,0,1972,1974,7,7,8654,1148.0,CollgCr,1Fam,Family,535689
235,2717,3,1,1,1.0,623.0,3,1943,1954,9,6,13838,1327.0,NWAmes,1Fam,Normal,483711
236,3737,4,1,0,1.0,419.0,2,2006,2024,8,2,3938,2070.0,Somerst,Duplx,AdjLand,577655
237,3484,2,4,1,1.0,605.0,3,2018,2040,10,7,11364,2659.0,Timber,TwnhsI,Abnorml,719715
238,2444,2,1,0,1.0,265.0,1,1939,1963,1,3,17468,689.0,Somerst,TwnhsE,Partial,381936
239,1889,3,3,0,,647.0,3,1964,1979,5,1,10083,880.0,Somerst,TwnhsI,Partial,424075
240,3322,5,1,0,,,1,1959,1966,6,7,1507,1955.0,Gilbert,TwnhsI,Abnorml,481575
